payload_id,launch_id,payload_name,payload_type,mass_kg,target_orbit,customer_id,deployment_status,manufacturer
PL-0266,SX-0266,Dragon-54-PL,Starlink Batch,15100,LEO,C002,Deployed,SpaceX
PL-0267,SX-0267,Arabsat-48-PL,Starlink Batch,17835,LEO,C002,Deployed,SpaceX
PL-0268,SX-0268,Intelsat-82-PL,Satellite - Commercial,2763,MEO,C015,Deployed,Thales Alenia
PL-0269,SX-0269,Crew-64-PL,Starlink Batch,17378,LEO,C002,Deployed,Thales Alenia
PL-0270,SX-0270,Transporter-44-PL,Starlink Batch,15987,LEO,C002,Deployed,SpaceX
PL-0271,SX-0271,Intelsat-59-PL,Starlink Batch,14647,LEO,C002,Deployed,SpaceX
PL-0272,SX-0272,Arabsat-36-PL,Starlink Batch,17581,LEO,C002,Deployed,Northrop Grumman
PL-0273,SX-0273,SES-81-PL,Starlink Batch,14212,LEO,C002,Deployed,Planet Labs
PL-0274,SX-0274,Crew-62-PL,Starlink Batch,14004,LEO,C002,Deployed,Thales Alenia
PL-0275,SX-0275,Iridium NEXT-17-PL,Satellite - Government,2487,SSO,C013,Deployed,Maxar
PL-0276,SX-0276,CRS-49-PL,Starlink Batch,15225,LEO,C002,Deployed,Airbus
PL-0277,SX-0277,CRS-57-PL,Starlink Batch,16662,LEO,C002,Deployed,Planet Labs
PL-0278,SX-0278,GPS-13-PL,Starlink Batch,14889,LEO,C002,Deployed,Boeing
PL-0279,SX-0279,Crew-36-PL,Starlink Batch,14572,LEO,C002,Lost,Airbus
PL-0280,SX-0280,Arabsat-39-PL,Satellite - Commercial,2219,MEO,C015,Deployed,Airbus
PL-0281,SX-0281,Transporter-31-PL,Starlink Batch,17677,LEO,C002,Deployed,Thales Alenia
PL-0282,SX-0282,Arabsat-41-PL,Satellite - Government,1598,SSO,C003,Deployed,Boeing
PL-0283,SX-0283,NROL-76-PL,Satellite - Commercial,5858,GTO,C015,Deployed,SpaceX
PL-0284,SX-0284,Transporter-54-PL,Science Probe,4346,TLI,C001,Deployed,Maxar
PL-0285,SX-0285,GPS-66-PL,Satellite - Commercial,2684,GEO,C012,Deployed,Northrop Grumman
PL-0286,SX-0286,Iridium NEXT-56-PL,Satellite - Government,2041,SSO,C013,Deployed,Maxar
PL-0287,SX-0287,Starlink-86-PL,Science Probe,5714,LEO,C001,Deployed,Thales Alenia
PL-0288,SX-0288,Intelsat-45-PL,Starlink Batch,14671,LEO,C002,Deployed,SpaceX
PL-0289,SX-0289,Starlink-94-PL,Starlink Batch,17577,LEO,C002,Deployed,Northrop Grumman
PL-0290,SX-0290,O3b-81-PL,Starlink Batch,16917,LEO,C002,Deployed,Maxar
PL-0291,SX-0291,CRS-33-PL,Starlink Batch,15506,,C002,Deployed,Airbus
PL-0292,SX-0292,USSF-02-PL,Starlink Batch,17517,LEO,C002,Deployed,Thales Alenia
PL-0293,SX-0293,AsiaSat-92-PL,Starlink Batch,14144,LEO,C002,Deployed,Boeing
PL-0294,SX-0294,USSF-10-PL,Starlink Batch,15111,LEO,C002,Deployed,Airbus
PL-0295,SX-0295,GPS-60-PL,Satellite - Commercial,2376,GEO,C012,Deployed,Boeing
PL-0296,SX-0296,Starlink-73-PL,Starlink Batch,14821,LEO,C002,Deployed,Northrop Grumman
PL-0297,SX-0297,Arabsat-70-PL,Satellite - Government,3100,GTO,C003,Deployed,Boeing
PL-0298,SX-0298,NROL-98-PL,Science Probe,7680,ISS,C001,Deployed,Airbus
PL-0299,SX-0299,NROL-19-PL,Starlink Batch,16015,LEO,C002,Deployed,Boeing
PL-0300,SX-0300,Iridium NEXT-11-PL,Starlink Batch,15877,LEO,C002,Deployed,Thales Alenia
PL-0301,SX-0301,CRS-31-PL,Satellite - Commercial,5563,MEO,C008,Deployed,Thales Alenia
PL-0302,SX-0302,Crew-18-PL,Starlink Batch,14305,LEO,C002,Deployed,Airbus
PL-0303,SX-0303,OneWeb-99-PL,Starlink Batch,16195,LEO,C002,Deployed,SpaceX
PL-0304,SX-0304,USSF-91-PL,Starlink Batch,15246,,C002,Deployed,Maxar
PL-0305,SX-0305,SES-66-PL,Starlink Batch,15457,LEO,C002,Deployed,SpaceX
PL-0306,SX-0306,Iridium NEXT-71-PL,Starlink Batch,16277,LEO,C002,Lost,Boeing
PL-0307,SX-0307,CRS-26-PL,Starlink Batch,14910,LEO,C002,Deployed,Airbus
PL-0308,SX-0308,Crew-83-PL,Satellite - Commercial,2178,GTO,C015,Deployed,Boeing
PL-0309,SX-0309,Arabsat-74-PL,Starlink Batch,14688,LEO,C002,Deployed,Airbus
PL-0310,SX-0310,Arabsat-24-PL,Satellite - Government,4399,MEO,C003,Deployed,Boeing
PL-0311,SX-0311,Intelsat-08-PL,Science Probe,4417,TLI,C001,Deployed,Maxar
PL-0312,SX-0312,Dragon-70-PL,Starlink Batch,15020,LEO,C002,Deployed,Airbus
PL-0313,SX-0313,SES-35-PL,Satellite - Government,5615,SSO,C003,Deployed,Thales Alenia
PL-0314,SX-0314,Crew-21-PL,Cargo (Dragon),6337,TLI,C001,Deployed,Maxar
PL-0315,SX-0315,Transporter-29-PL,Starlink Batch,14229,LEO,C002,Deployed,Thales Alenia
PL-0316,SX-0316,Iridium NEXT-90-PL,Starlink Batch,17302,LEO,C002,Deployed,Planet Labs
PL-0317,SX-0317,USSF-64-PL,Satellite - Commercial,6612,GTO,C012,Deployed,Planet Labs
PL-0318,SX-0318,OneWeb-79-PL,Science Probe,2163,LEO,C001,Deployed,Maxar
PL-0319,SX-0319,NROL-19-PL,Satellite - Commercial,4650,GTO,C012,Deployed,Thales Alenia
PL-0320,SX-0320,Iridium NEXT-85-PL,Starlink Batch,15530,LEO,C002,Deployed,TBD
PL-0321,SX-0321,SES-82-PL,Starlink Batch,17885,LEO,C002,Deployed,SpaceX
PL-0322,SX-0322,Dragon-76-PL,Satellite - Commercial,4923,GTO,C012,Deployed,Planet Labs
PL-0323,SX-0323,O3b-51-PL,Starlink Batch,17885,LEO,C002,Deployed,Boeing
PL-0324,SX-0324,OneWeb-96-PL,Satellite - Commercial,6064,GTO,C015,Deployed,Thales Alenia
PL-0325,SX-0325,Arabsat-43-PL,Starlink Batch,16987,LEO,C002,Deployed,Boeing
PL-0326,SX-0326,NROL-07-PL,Starlink Batch,16950,LEO,C002,Deployed,Planet Labs
PL-0327,SX-0327,SES-13-PL,Starlink Batch,16236,LEO,C002,Deployed,Planet Labs
PL-0328,SX-0328,NROL-41-PL,Starlink Batch,15207,LEO,C002,Deployed,Airbus
PL-0329,SX-0329,AsiaSat-12-PL,Starlink Batch,14307,LEO,C002,Deployed,Boeing
PL-0330,SX-0330,CRS-07-PL,Satellite - Commercial,6975,GEO,C012,Deployed,Thales Alenia
PL-0331,SX-0331,Dragon-37-PL,Starlink Batch,15086,LEO,C002,Deployed,Planet Labs
PL-0332,SX-0332,OneWeb-01-PL,Starlink Batch,14223,LEO,C002,Deployed,Maxar
PL-0333,SX-0333,GPS-61-PL,Starlink Batch,15195,LEO,C002,Deployed,Boeing
PL-0334,SX-0334,CRS-48-PL,Satellite - Government,5957,SSO,C003,Deployed,Northrop Grumman
PL-0335,SX-0335,Transporter-90-PL,Science Probe,4200,LEO,C001,Deployed,Maxar
PL-0336,SX-0336,USSF-67-PL,Satellite - Government,-1999,SSO,C013,Lost,Airbus
PL-0337,SX-0337,O3b-67-PL,Satellite - Commercial,2284,MEO,C015,Deployed,Airbus
PL-0338,SX-0338,Crew-25-PL,Starlink Batch,17981,LEO,C002,Deployed,Planet Labs
PL-0339,SX-0339,Starlink-41-PL,Satellite - Commercial,3211,MEO,C008,Deployed,Thales Alenia
PL-0340,SX-0340,Starlink-67-PL,Starlink Batch,17508,LEO,C002,Deployed,Planet Labs
PL-0341,SX-0341,CRS-19-PL,Satellite - Commercial,2921,GEO,C012,Deployed,TBD
PL-0342,SX-0342,AsiaSat-45-PL,Starlink Batch,17553,LEO,C002,Deployed,Planet Labs
PL-0343,SX-0343,O3b-78-PL,Satellite - Commercial,5301,GTO,C015,Deployed,Boeing
PL-0344,SX-0344,Arabsat-35-PL,Starlink Batch,15946,LEO,C002,Deployed,Boeing
PL-0345,SX-0345,GPS-30-PL,Starlink Batch,16805,LEO,C002,Deployed,Planet Labs
PL-0346,SX-0346,Crew-57-PL,Starlink Batch,14365,LEO,C002,Deployed,SpaceX
PL-0347,SX-0347,Transporter-21-PL,Satellite - Commercial,2460,MEO,C012,Deployed,Airbus
PL-0348,SX-0348,Arabsat-26-PL,Starlink Batch,14789,LEO,C002,Deployed,Maxar
PL-0349,SX-0349,Arabsat-16-PL,Science Probe,5802,TLI,C001,Deployed,Planet Labs
PL-0350,SX-0350,AsiaSat-45-PL,Satellite - Government,5387,GTO,C003,Deployed,Maxar
PL-0351,SX-0351,Transporter-28-PL,Satellite - Commercial,3334,MEO,C012,Deployed,Airbus
PL-0352,SX-0352,Transporter-88-PL,Starlink Batch,17961,LEO,C002,Deployed,TBD
PL-0353,SX-0353,Transporter-40-PL,Satellite - Commercial,4067,MEO,C008,Deployed,Boeing
PL-0354,SX-0354,Intelsat-39-PL,Starlink Batch,14893,LEO,C002,Deployed,Airbus
PL-0355,SX-0355,Dragon-77-PL,Satellite - Commercial,5065,MEO,C015,Deployed,Maxar
PL-0356,SX-0356,Starlink-84-PL,Satellite - Government,4163,SSO,C003,Deployed,SpaceX
PL-0357,SX-0357,Transporter-77-PL,Starlink Batch,-800,LEO,C002,Deployed,Planet Labs
PL-0358,SX-0358,SES-50-PL,Satellite - Commercial,4125,GEO,C012,Deployed,Boeing
PL-0359,SX-0359,Arabsat-86-PL,Starlink Batch,15948,LEO,C002,Deployed,Northrop Grumman
PL-0360,SX-0360,Starlink-93-PL,Satellite - Commercial,3048,MEO,C008,Deployed,SpaceX
PL-0361,SX-0361,USSF-40-PL,Satellite - Commercial,3829,MEO,C008,Deployed,Airbus
PL-0362,SX-0362,Intelsat-07-PL,Starlink Batch,14482,LEO,C002,Deployed,Maxar
PL-0363,SX-0363,Starlink-53-PL,Satellite - Government,4626,GTO,C003,Deployed,Maxar
PL-0364,SX-0364,Arabsat-59-PL,Starlink Batch,17657,LEO,C002,Deployed,SpaceX
PL-0365,SX-0365,Dragon-08-PL,Starlink Batch,15283,LEO,C002,Deployed,Thales Alenia
PL-0366,SX-0366,Transporter-12-PL,Starlink Batch,17127,LEO,C002,Deployed,Thales Alenia
PL-0367,SX-0367,AsiaSat-26-PL,Starlink Batch,14154,LEO,C002,Lost,Airbus
PL-0368,SX-0368,Iridium NEXT-32-PL,Starlink Batch,16566,LEO,C002,Deployed,SpaceX
PL-0369,SX-0369,CRS-09-PL,Starlink Batch,15253,LEO,C002,Deployed,SpaceX
PL-0370,SX-0370,Arabsat-63-PL,Satellite - Government,2596,SSO,C003,Deployed,Boeing
PL-0371,SX-0371,Crew-94-PL,Starlink Batch,14537,LEO,C002,Deployed,SpaceX
PL-0372,SX-0372,Arabsat-82-PL,Starlink Batch,15536,LEO,C002,Deployed,Northrop Grumman
PL-0373,SX-0373,Iridium NEXT-15-PL,Satellite - Commercial,2161,,C015,Deployed,Northrop Grumman
PL-0374,SX-0374,SES-85-PL,Satellite - Government,1576,,C013,Deployed,Boeing
PL-0375,SX-0375,Iridium NEXT-80-PL,Satellite - Commercial,2859,MEO,C015,Deployed,Thales Alenia
PL-0376,SX-0376,OneWeb-91-PL,Satellite - Government,5785,MEO,C003,Deployed,Maxar
PL-0377,SX-0377,Crew-01-PL,Satellite - Government,5437,SSO,C013,Deployed,SpaceX
PL-0378,SX-0378,Iridium NEXT-93-PL,Satellite - Commercial,6191,GTO,C015,Deployed,Thales Alenia
PL-0379,SX-0379,USSF-38-PL,Satellite - Government,2931,MEO,C003,Deployed,Airbus
PL-0380,SX-0380,NROL-18-PL,Starlink Batch,14187,LEO,C002,Deployed,Thales Alenia
PL-0381,SX-0381,GPS-48-PL,Starlink Batch,17002,LEO,C002,Lost,Boeing
PL-0382,SX-0382,Intelsat-54-PL,Starlink Batch,17484,LEO,C002,Deployed,Planet Labs
PL-0383,SX-0383,USSF-21-PL,Starlink Batch,17860,LEO,C002,Deployed,SpaceX
PL-0384,SX-0384,NROL-88-PL,Satellite - Commercial,4937,MEO,C015,Deployed,Airbus
PL-0385,SX-0385,Starlink-84-PL,Satellite - Government,1876,MEO,C003,Deployed,Boeing
PL-0386,SX-0386,Dragon-94-PL,Satellite - Commercial,2780,GEO,C008,Deployed,Airbus
PL-0387,SX-0387,Dragon-21-PL,Starlink Batch,14047,LEO,C002,Deployed,SpaceX
PL-0388,SX-0388,Starlink-07-PL,Starlink Batch,15355,LEO,C002,Deployed,Maxar
PL-0389,SX-0389,Intelsat-12-PL,Starlink Batch,16347,LEO,C002,Deployed,Thales Alenia
PL-0390,SX-0390,USSF-12-PL,Satellite - Government,5998,MEO,C003,Deployed,Boeing
PL-0391,SX-0391,USSF-07-PL,Satellite - Government,4292,SSO,C013,Lost,Airbus
PL-0392,SX-0392,Intelsat-15-PL,Satellite - Government,4476,GTO,C013,Deployed,Planet Labs
PL-0393,SX-0393,Iridium NEXT-14-PL,Science Probe,4391,ISS,C001,Deployed,Thales Alenia
PL-0394,SX-0394,GPS-51-PL,Starlink Batch,14768,LEO,C002,Deployed,Northrop Grumman
PL-0395,SX-0395,Transporter-58-PL,Satellite - Commercial,6823,GTO,C012,Deployed,Boeing
PL-0396,SX-0396,Intelsat-66-PL,Satellite - Government,5045,GTO,C003,Deployed,Maxar
PL-0397,SX-0397,AsiaSat-50-PL,Satellite - Commercial,6965,GEO,C012,Deployed,Planet Labs
PL-0398,SX-0001,Transporter-80-PL,Starlink Batch,16617,LEO,C002,Deployed,Airbus
PL-0399,SX-0002,OneWeb-99-PL,Starlink Batch,16195,LEO,C002,Deployed,Boeing
PL-0001,SX-0097,OneWeb-72-PL,Starlink Batch,14443,LEO,C002,Deployed,Maxar
PL-0002,SX-0282,Arabsat-41-PL,Satellite - Government,1598,SSO,C003,Deployed,Boeing
PL-0003,SX-0146,Starlink-34-PL,Starlink Batch,14482,LEO,C002,Deployed,Planet Labs
